                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:06:01 2014, 00:1e:c0:81:71:33,  29.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.880 V,  16.827 W
 Thu Apr 24 06:06:11 2014, 00:1e:c0:81:71:33,  29.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.657 A,  11.880 V,  16.857 W
 Thu Apr 24 06:06:21 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.652 A,  11.903 V,  16.795 W
 Thu Apr 24 06:06:31 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.655 A,  11.903 V,  16.795 W
 Thu Apr 24 06:06:41 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.903 V,  16.812 W
 Thu Apr 24 06:06:51 2014, 00:1e:c0:81:71:33,  29.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.655 A,  11.880 V,  16.857 W
 Thu Apr 24 06:07:01 2014, 00:1e:c0:81:71:33,  29.9 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.903 V,  16.812 W
 Thu Apr 24 06:07:11 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.903 V,   0.657 A,  11.903 V,  16.931 W
 Thu Apr 24 06:07:21 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.652 A,  11.903 V,  16.812 W
 Thu Apr 24 06:07:31 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.652 A,  11.903 V,  16.736 W
 Thu Apr 24 06:07:41 2014, 00:1e:c0:81:71:33,  29.7 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:07:51 2014, 00:1e:c0:81:71:33,  29.6 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.880 V,   0.662 A,  11.903 V,  17.003 W
 Thu Apr 24 06:08:01 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.880 V,   0.655 A,  11.880 V,  16.869 W
 Thu Apr 24 06:08:11 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.652 A,  11.880 V,  16.750 W
 Thu Apr 24 06:08:21 2014, 00:1e:c0:81:71:33,  29.6 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.880 V,   0.652 A,  11.903 V,  16.854 W
 Thu Apr 24 06:08:31 2014, 00:1e:c0:81:71:33,  29.6 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.652 A,  11.880 V,  16.750 W
 Thu Apr 24 06:08:41 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.652 A,  11.903 V,  16.795 W
 Thu Apr 24 06:08:51 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:09:01 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.903 V,   0.660 A,  11.903 V,  16.961 W
 Thu Apr 24 06:09:11 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.657 A,  11.880 V,  16.857 W
 Thu Apr 24 06:09:21 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.903 V,   0.652 A,  11.880 V,  16.708 W
 Thu Apr 24 06:09:31 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.660 A,  11.903 V,  16.872 W
 Thu Apr 24 06:09:41 2014, 00:1e:c0:81:71:33,  29.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:09:51 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.652 A,  11.880 V,  16.827 W
 Thu Apr 24 06:10:01 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.880 V,   0.655 A,  11.903 V,  16.884 W
 Thu Apr 24 06:10:11 2014, 00:1e:c0:81:71:33,  29.5 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.652 A,  11.903 V,  16.812 W
 Thu Apr 24 06:10:21 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.660 A,  11.880 V,  16.780 W
 Thu Apr 24 06:10:31 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.903 V,  16.812 W
 Thu Apr 24 06:10:41 2014, 00:1e:c0:81:71:33,  29.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.880 V,   0.652 A,  11.880 V,  16.810 W
