                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 07:15:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:15:12 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:15:22 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:15:32 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:15:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:15:52 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:16:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.857 V,   0.713 A,  11.880 V,  17.327 W
 Thu Apr 24 07:16:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:16:22 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:16:32 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:16:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.903 V,  17.331 W
 Thu Apr 24 07:16:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:17:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:17:12 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.903 V,  17.331 W
 Thu Apr 24 07:17:22 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:17:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.903 V,  17.331 W
 Thu Apr 24 07:17:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:17:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:18:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:18:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:18:22 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:18:32 2014, 00:1e:c0:81:71:33,  26.9 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:18:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.880 V,   0.710 A,  11.903 V,  17.361 W
 Thu Apr 24 07:18:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.857 V,  17.328 W
 Thu Apr 24 07:19:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:19:12 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:19:22 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.903 V,  17.378 W
 Thu Apr 24 07:19:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:19:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:19:52 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:20:02 2014, 00:1e:c0:81:71:33,  26.9 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:20:12 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.710 A,  11.880 V,  17.332 W
 Thu Apr 24 07:20:22 2014, 00:1e:c0:81:71:33,  26.9 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:20:32 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:20:42 2014, 00:1e:c0:81:71:33,  26.9 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:20:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:21:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:21:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:21:22 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:21:32 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:21:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:21:52 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:22:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:22:12 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.903 V,  17.331 W
 Thu Apr 24 07:22:22 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:22:32 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:22:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:22:52 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:23:02 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:23:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:23:22 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:23:32 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.710 A,  11.903 V,  17.348 W
 Thu Apr 24 07:23:42 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:23:52 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:24:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:24:12 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:24:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:24:32 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:24:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.710 A,  11.880 V,  17.285 W
 Thu Apr 24 07:24:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:25:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.903 V,   0.713 A,  11.880 V,  17.332 W
 Thu Apr 24 07:25:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:25:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:25:32 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:25:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:25:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:26:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:26:12 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:26:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:26:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:26:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.857 V,  17.328 W
 Thu Apr 24 07:26:52 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.903 V,   0.713 A,  11.880 V,  17.332 W
 Thu Apr 24 07:27:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:27:12 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.857 V,  17.328 W
 Thu Apr 24 07:27:22 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:27:32 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:27:42 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:27:52 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:28:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:28:12 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:28:22 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:28:32 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:28:42 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:28:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:29:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:29:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:29:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.710 A,  11.880 V,  17.285 W
 Thu Apr 24 07:29:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:29:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:29:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.857 V,   0.713 A,  11.880 V,  17.327 W
 Thu Apr 24 07:30:02 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:30:12 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.710 A,  11.880 V,  17.285 W
 Thu Apr 24 07:30:22 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:30:32 2014, 00:1e:c0:81:71:33,  26.3 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:30:42 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:30:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.710 A,  11.880 V,  17.285 W
 Thu Apr 24 07:31:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:31:12 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:31:22 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:31:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:31:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:31:52 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.857 V,   0.713 A,  11.880 V,  17.327 W
 Thu Apr 24 07:32:02 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:32:12 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:32:22 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.903 V,  17.361 W
 Thu Apr 24 07:32:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:32:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.857 V,   0.710 A,  11.880 V,  17.297 W
 Thu Apr 24 07:32:52 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.710 A,  11.880 V,  17.332 W
 Thu Apr 24 07:33:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:33:12 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:33:22 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:33:32 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:33:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.903 V,  17.331 W
 Thu Apr 24 07:33:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:34:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:34:12 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:34:22 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:34:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:34:42 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:34:52 2014, 00:1e:c0:81:71:33,  26.8 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:35:02 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:35:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.750 A,  11.880 V,   0.713 A,  11.880 V,  17.374 W
 Thu Apr 24 07:35:22 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:35:32 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:35:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
 Thu Apr 24 07:35:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.903 V,  17.331 W
 Thu Apr 24 07:36:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:36:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:36:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:36:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:36:42 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.710 A,  11.880 V,  17.332 W
 Thu Apr 24 07:36:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:37:02 2014, 00:1e:c0:81:71:33,  26.4 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:37:12 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:37:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:37:32 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.710 A,  11.880 V,  17.315 W
 Thu Apr 24 07:37:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.857 V,  17.328 W
 Thu Apr 24 07:37:52 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:38:02 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:38:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:38:22 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:38:32 2014, 00:1e:c0:81:71:33,  26.7 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:38:42 2014, 00:1e:c0:81:71:33,  26.5 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:38:52 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.713 A,  11.880 V,  17.315 W
 Thu Apr 24 07:39:02 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:39:12 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.745 A,  11.880 V,   0.710 A,  11.880 V,  17.285 W
 Thu Apr 24 07:39:22 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.880 V,   0.713 A,  11.880 V,  17.344 W
 Thu Apr 24 07:39:32 2014, 00:1e:c0:81:71:33,  26.6 C,   1.011 V,     1,       0,       0,     1  0.748 A,  11.903 V,   0.713 A,  11.880 V,  17.361 W
