                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:53:32 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:53:42 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.765 A,  11.857 V,  19.978 W
 Thu Apr 24 06:53:52 2014, 00:1e:c0:81:3a:fa,  30.8 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.765 A,  11.857 V,  19.889 W
 Thu Apr 24 06:54:02 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.765 A,  11.857 V,  19.919 W
 Thu Apr 24 06:54:12 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 06:54:22 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:54:32 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.765 A,  11.857 V,  19.978 W
 Thu Apr 24 06:54:42 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:54:52 2014, 00:1e:c0:81:3a:fa,  31.3 C,   1.068 V,     1,       1,       0,     1  0.922 A,  11.857 V,   0.767 A,  11.857 V,  20.038 W
 Thu Apr 24 06:55:02 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.834 V,  19.931 W
 Thu Apr 24 06:55:12 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.765 A,  11.857 V,  19.978 W
 Thu Apr 24 06:55:22 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.857 V,  19.949 W
 Thu Apr 24 06:55:32 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:55:42 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:55:52 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:56:02 2014, 00:1e:c0:81:3a:fa,  31.2 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.765 A,  11.857 V,  19.978 W
 Thu Apr 24 06:56:12 2014, 00:1e:c0:81:3a:fa,  31.3 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:56:22 2014, 00:1e:c0:81:3a:fa,  31.4 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:56:32 2014, 00:1e:c0:81:3a:fa,  31.5 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.857 V,  19.949 W
 Thu Apr 24 06:56:42 2014, 00:1e:c0:81:3a:fa,  31.5 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 06:56:52 2014, 00:1e:c0:81:3a:fa,  31.2 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:57:02 2014, 00:1e:c0:81:3a:fa,  31.2 C,   1.068 V,     1,       1,       0,     1  0.912 A,  11.857 V,   0.765 A,  11.857 V,  19.889 W
 Thu Apr 24 06:57:12 2014, 00:1e:c0:81:3a:fa,  31.3 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.857 V,  19.949 W
 Thu Apr 24 06:57:22 2014, 00:1e:c0:81:3a:fa,  31.3 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.880 V,  20.026 W
 Thu Apr 24 06:57:32 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.857 V,  19.949 W
 Thu Apr 24 06:57:42 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 06:57:52 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.922 A,  11.857 V,   0.767 A,  11.857 V,  20.038 W
 Thu Apr 24 06:58:02 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.767 A,  11.857 V,  20.008 W
 Thu Apr 24 06:58:12 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:58:22 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:58:32 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.834 V,  19.931 W
 Thu Apr 24 06:58:42 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.767 A,  11.857 V,  19.949 W
 Thu Apr 24 06:58:52 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:59:02 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:59:12 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 06:59:22 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 06:59:32 2014, 00:1e:c0:81:3a:fa,  30.9 C,   1.068 V,     1,       1,       0,     1  0.915 A,  11.857 V,   0.765 A,  11.857 V,  19.919 W
 Thu Apr 24 06:59:42 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.880 V,   0.767 A,  11.834 V,  19.982 W
 Thu Apr 24 06:59:52 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.920 A,  11.857 V,   0.765 A,  11.857 V,  19.978 W
 Thu Apr 24 07:00:02 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.767 A,  11.857 V,  19.978 W
 Thu Apr 24 07:00:12 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 07:00:22 2014, 00:1e:c0:81:3a:fa,  31.0 C,   1.068 V,     1,       1,       0,     1  0.917 A,  11.857 V,   0.765 A,  11.857 V,  19.949 W
 Thu Apr 24 07:00:33 2014, 00:1e:c0:81:3a:fa,  31.1 C,   1.016 V,     1,       0,       0,     1  0.767 A,  11.880 V,   0.693 A,  11.880 V,  17.344 W
 Thu Apr 24 07:00:43 2014, 00:1e:c0:81:3a:fa,  30.2 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:00:53 2014, 00:1e:c0:81:3a:fa,  29.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:01:03 2014, 00:1e:c0:81:3a:fa,  29.3 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:01:13 2014, 00:1e:c0:81:3a:fa,  28.8 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:01:23 2014, 00:1e:c0:81:3a:fa,  28.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:01:33 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:01:43 2014, 00:1e:c0:81:3a:fa,  28.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:01:53 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:02:03 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:02:13 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:02:23 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:02:33 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:02:43 2014, 00:1e:c0:81:3a:fa,  28.4 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:02:53 2014, 00:1e:c0:81:3a:fa,  28.4 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:03:03 2014, 00:1e:c0:81:3a:fa,  28.6 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:03:13 2014, 00:1e:c0:81:3a:fa,  28.6 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:03:23 2014, 00:1e:c0:81:3a:fa,  28.9 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.695 A,  11.880 V,  17.463 W
 Thu Apr 24 07:03:33 2014, 00:1e:c0:81:3a:fa,  29.0 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:03:43 2014, 00:1e:c0:81:3a:fa,  29.0 C,   1.016 V,     1,       0,       0,     1  0.777 A,  11.880 V,   0.695 A,  11.880 V,  17.493 W
 Thu Apr 24 07:03:53 2014, 00:1e:c0:81:3a:fa,  29.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:04:03 2014, 00:1e:c0:81:3a:fa,  29.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:04:13 2014, 00:1e:c0:81:3a:fa,  29.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.857 V,  17.417 W
 Thu Apr 24 07:04:23 2014, 00:1e:c0:81:3a:fa,  29.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:04:33 2014, 00:1e:c0:81:3a:fa,  29.3 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.857 V,   0.693 A,  11.880 V,  17.386 W
 Thu Apr 24 07:04:43 2014, 00:1e:c0:81:3a:fa,  29.3 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:04:53 2014, 00:1e:c0:81:3a:fa,  29.3 C,   1.016 V,     1,       0,       0,     1  0.777 A,  11.880 V,   0.693 A,  11.880 V,  17.463 W
 Thu Apr 24 07:05:03 2014, 00:1e:c0:81:3a:fa,  29.5 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:05:13 2014, 00:1e:c0:81:3a:fa,  29.4 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:05:23 2014, 00:1e:c0:81:3a:fa,  29.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:05:33 2014, 00:1e:c0:81:3a:fa,  29.3 C,   1.016 V,     1,       0,       0,     1  0.777 A,  11.880 V,   0.693 A,  11.880 V,  17.463 W
 Thu Apr 24 07:05:43 2014, 00:1e:c0:81:3a:fa,  29.2 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:05:53 2014, 00:1e:c0:81:3a:fa,  29.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.695 A,  11.880 V,  17.463 W
 Thu Apr 24 07:06:03 2014, 00:1e:c0:81:3a:fa,  29.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.695 A,  11.880 V,  17.463 W
 Thu Apr 24 07:06:13 2014, 00:1e:c0:81:3a:fa,  28.8 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:06:23 2014, 00:1e:c0:81:3a:fa,  28.9 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:06:33 2014, 00:1e:c0:81:3a:fa,  28.8 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:06:43 2014, 00:1e:c0:81:3a:fa,  28.8 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:06:53 2014, 00:1e:c0:81:3a:fa,  28.9 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:07:03 2014, 00:1e:c0:81:3a:fa,  28.5 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:07:13 2014, 00:1e:c0:81:3a:fa,  28.5 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:07:23 2014, 00:1e:c0:81:3a:fa,  28.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:07:33 2014, 00:1e:c0:81:3a:fa,  28.4 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:07:43 2014, 00:1e:c0:81:3a:fa,  28.4 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.903 V,   0.693 A,  11.903 V,  17.467 W
 Thu Apr 24 07:07:53 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:08:03 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:08:13 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.767 A,  11.880 V,   0.693 A,  11.880 V,  17.344 W
 Thu Apr 24 07:08:23 2014, 00:1e:c0:81:3a:fa,  28.3 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:08:33 2014, 00:1e:c0:81:3a:fa,  28.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:08:43 2014, 00:1e:c0:81:3a:fa,  28.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:08:53 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:09:03 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:09:13 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:09:23 2014, 00:1e:c0:81:3a:fa,  28.2 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.695 A,  11.880 V,  17.463 W
 Thu Apr 24 07:09:33 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:09:43 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:09:53 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:10:03 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:10:13 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:10:23 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:10:33 2014, 00:1e:c0:81:3a:fa,  28.1 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:10:43 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:10:53 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:11:03 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:11:13 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:11:23 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:11:33 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:11:43 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:11:53 2014, 00:1e:c0:81:3a:fa,  28.0 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:12:03 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.695 A,  11.880 V,  17.404 W
 Thu Apr 24 07:12:13 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.857 V,   0.693 A,  11.880 V,  17.356 W
 Thu Apr 24 07:12:23 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.903 V,  17.390 W
 Thu Apr 24 07:12:33 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:12:43 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:12:53 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:13:03 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.857 V,   0.695 A,  11.880 V,  17.416 W
 Thu Apr 24 07:13:13 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:13:23 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:13:33 2014, 00:1e:c0:81:3a:fa,  27.9 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:13:43 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:13:53 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:14:03 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.903 V,   0.695 A,  11.880 V,  17.421 W
 Thu Apr 24 07:14:13 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:14:23 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:14:33 2014, 00:1e:c0:81:3a:fa,  27.4 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:14:43 2014, 00:1e:c0:81:3a:fa,  27.4 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:14:53 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:15:03 2014, 00:1e:c0:81:3a:fa,  27.4 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:15:13 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.857 V,   0.693 A,  11.880 V,  17.356 W
 Thu Apr 24 07:15:23 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:15:33 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:15:43 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.693 A,  11.880 V,  17.433 W
 Thu Apr 24 07:15:53 2014, 00:1e:c0:81:3a:fa,  27.7 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:16:03 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:16:13 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:16:23 2014, 00:1e:c0:81:3a:fa,  27.8 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.695 A,  11.880 V,  17.433 W
 Thu Apr 24 07:16:33 2014, 00:1e:c0:81:3a:fa,  27.5 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.695 A,  11.880 V,  17.404 W
 Thu Apr 24 07:16:43 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.770 A,  11.880 V,   0.693 A,  11.880 V,  17.374 W
 Thu Apr 24 07:16:53 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:17:03 2014, 00:1e:c0:81:3a:fa,  27.6 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.857 V,   0.693 A,  11.880 V,  17.415 W
 Thu Apr 24 07:17:13 2014, 00:1e:c0:81:3a:fa,  27.5 C,   1.016 V,     1,       0,       0,     1  0.775 A,  11.880 V,   0.695 A,  11.880 V,  17.463 W
 Thu Apr 24 07:17:23 2014, 00:1e:c0:81:3a:fa,  27.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.880 V,   0.693 A,  11.880 V,  17.404 W
 Thu Apr 24 07:17:33 2014, 00:1e:c0:81:3a:fa,  27.5 C,   1.016 V,     1,       0,       0,     1  0.772 A,  11.903 V,   0.693 A,  11.880 V,  17.421 W
