                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:05:52 2014, 00:1e:c0:81:3a:fa,  30.6 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.642 A,  11.880 V,  16.869 W
 Thu Apr 24 06:06:02 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.640 A,  11.880 V,  16.839 W
 Thu Apr 24 06:06:12 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.903 V,  16.961 W
 Thu Apr 24 06:06:22 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.880 V,  16.899 W
 Thu Apr 24 06:06:32 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
 Thu Apr 24 06:06:42 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.880 V,   0.640 A,  11.903 V,  16.884 W
 Thu Apr 24 06:06:52 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.903 V,   0.640 A,  11.903 V,  17.051 W
 Thu Apr 24 06:07:02 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.903 V,  16.872 W
 Thu Apr 24 06:07:12 2014, 00:1e:c0:81:3a:fa,  30.6 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.903 V,  16.991 W
 Thu Apr 24 06:07:22 2014, 00:1e:c0:81:3a:fa,  30.5 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.903 V,   0.640 A,  11.903 V,  16.842 W
