                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Thu Apr 24 07:50:21 2014, 00:1e:c0:81:1d:ac,  40.1 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:50:31 2014, 00:1e:c0:81:1d:ac,  40.3 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:50:41 2014, 00:1e:c0:81:1d:ac,  41.0 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.857 V,   1.252 V,   1.249 V,   1.032 V,   1.025 V,  21.953 W
 Thu Apr 24 07:50:51 2014, 00:1e:c0:81:1d:ac,  40.6 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:51:01 2014, 00:1e:c0:81:1d:ac,  41.1 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.025 V,  21.977 W
 Thu Apr 24 07:51:11 2014, 00:1e:c0:81:1d:ac,  40.5 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.250 V,   1.030 V,   1.026 V,  21.977 W
 Thu Apr 24 07:51:21 2014, 00:1e:c0:81:1d:ac,  40.9 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.880 V,   1.252 V,   1.249 V,   1.031 V,   1.026 V,  21.996 W
 Thu Apr 24 07:51:31 2014, 00:1e:c0:81:1d:ac,  40.7 C,   2.515 V,     1,       0,       0,     1,   1.848 A,  11.880 V,   1.251 V,   1.249 V,   1.032 V,   1.026 V,  21.959 W
 Thu Apr 24 07:51:41 2014, 00:1e:c0:81:1d:ac,  40.9 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.025 V,  21.977 W
 Thu Apr 24 07:51:51 2014, 00:1e:c0:81:1d:ac,  40.9 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.025 V,  21.977 W
 Thu Apr 24 07:52:01 2014, 00:1e:c0:81:1d:ac,  40.9 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.026 V,  21.996 W
 Thu Apr 24 07:52:11 2014, 00:1e:c0:81:1d:ac,  41.0 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.880 V,   1.252 V,   1.250 V,   1.032 V,   1.027 V,  21.996 W
 Thu Apr 24 07:52:21 2014, 00:1e:c0:81:1d:ac,  41.6 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.903 V,   1.252 V,   1.251 V,   1.031 V,   1.025 V,  22.038 W
 Thu Apr 24 07:52:31 2014, 00:1e:c0:81:1d:ac,  40.9 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.248 V,   1.032 V,   1.026 V,  21.977 W
 Thu Apr 24 07:52:41 2014, 00:1e:c0:81:1d:ac,  41.5 C,   2.515 V,     1,       0,       0,     1,   1.852 A,  11.880 V,   1.251 V,   1.248 V,   1.032 V,   1.026 V,  21.996 W
 Thu Apr 24 07:52:51 2014, 00:1e:c0:81:1d:ac,  40.7 C,   2.515 V,     1,       0,       0,     1,   1.850 A,  11.880 V,   1.252 V,   1.249 V,   1.032 V,   1.025 V,  21.977 W
