                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 13:31:59 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:32:09 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:32:19 2014, 00:1e:c0:81:1d:ac,  45.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:32:29 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:32:39 2014, 00:1e:c0:81:1d:ac,  44.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:32:49 2014, 00:1e:c0:81:1d:ac,  44.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:32:59 2014, 00:1e:c0:81:1d:ac,  44.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:33:09 2014, 00:1e:c0:81:1d:ac,  44.7 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:33:19 2014, 00:1e:c0:81:1d:ac,  45.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:33:29 2014, 00:1e:c0:81:1d:ac,  45.5 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:33:39 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.972 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.539 W
 Wed Apr 23 13:33:49 2014, 00:1e:c0:81:1d:ac,  45.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:33:59 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:34:09 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.712 A,  11.972 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.502 W
 Wed Apr 23 13:34:19 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:34:29 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:34:39 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:34:49 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:34:59 2014, 00:1e:c0:81:1d:ac,  46.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:35:09 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:35:19 2014, 00:1e:c0:81:1d:ac,  46.5 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:35:29 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:35:39 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:35:49 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:35:59 2014, 00:1e:c0:81:1d:ac,  46.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:36:09 2014, 00:1e:c0:81:1d:ac,  46.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:36:19 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:36:29 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:36:39 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:36:49 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:36:59 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:37:09 2014, 00:1e:c0:81:1d:ac,  46.8 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.441 W
