                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:32:40 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.640 A,  11.949 V,  17.068 W
 Wed Apr 23 13:32:50 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.637 A,  11.949 V,  17.039 W
 Wed Apr 23 13:33:00 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:33:10 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:33:20 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:33:30 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:33:40 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.637 A,  11.949 V,  17.009 W
 Wed Apr 23 13:33:50 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:34:00 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
 Wed Apr 23 13:34:10 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:34:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:34:30 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.637 A,  11.949 V,  17.039 W
 Wed Apr 23 13:34:40 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:34:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:35:00 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:35:10 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.926 V,  17.072 W
 Wed Apr 23 13:35:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:35:30 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:35:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:35:50 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:36:00 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.637 A,  11.949 V,  17.087 W
 Wed Apr 23 13:36:10 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:36:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:30 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:36:40 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.926 V,  17.042 W
 Wed Apr 23 13:37:00 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:37:10 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.640 A,  11.949 V,  17.068 W
 Wed Apr 23 13:37:20 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:37:30 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:37:40 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:37:50 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:38:00 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:38:10 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:38:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.926 V,   0.637 A,  11.949 V,  17.068 W
 Wed Apr 23 13:38:30 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:38:40 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:38:50 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:39:00 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:39:10 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:39:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:39:30 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:39:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:39:50 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.637 A,  11.949 V,  17.087 W
 Wed Apr 23 13:40:00 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:40:10 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:40:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.926 V,  17.042 W
 Wed Apr 23 13:40:30 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:40:40 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:40:50 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:41:00 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:41:10 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:41:20 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
 Wed Apr 23 13:41:30 2014, 00:1e:c0:81:3a:fa,  31.6 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
