                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:41:40 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.926 V,   0.640 A,  11.949 V,  17.098 W
 Wed Apr 23 13:41:50 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.640 A,  11.949 V,  17.068 W
 Wed Apr 23 13:42:00 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
 Wed Apr 23 13:42:10 2014, 00:1e:c0:81:3a:fa,  31.5 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:42:20 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.637 A,  11.949 V,  17.087 W
 Wed Apr 23 13:42:30 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:42:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.637 A,  11.949 V,  17.009 W
 Wed Apr 23 13:42:50 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.637 A,  11.949 V,  17.039 W
 Wed Apr 23 13:43:00 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.640 A,  11.949 V,  17.068 W
 Wed Apr 23 13:43:10 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:43:30 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:43:40 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:43:50 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:00 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.972 V,  17.042 W
 Wed Apr 23 13:44:10 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.637 A,  11.949 V,  17.027 W
 Wed Apr 23 13:44:20 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:30 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
