                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:32:50 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.949 V,   0.662 A,  11.949 V,  17.057 W
 Wed Apr 23 13:33:00 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:10 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:20 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:33:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.665 A,  11.972 V,  17.090 W
 Wed Apr 23 13:33:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:34:00 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:34:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.926 V,  16.994 W
 Wed Apr 23 13:34:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:34:30 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:34:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:34:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:35:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:35:10 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:35:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:35:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:35:40 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:35:50 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:00 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:10 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:36:20 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:36:40 2014, 00:1e:c0:81:71:33,  31.5 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
